*******************************************************************************
JPL/HORIZONS                  1 Ceres (A801 AA)            2021-May-29 11:14:24
Rec #:       1 (+COV) Soln.date: 2021-Apr-13_11:04:44   # obs: 1075 (1995-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .24563
   EC= .07687465013145245  QR= 2.556401146697176   TP= 2458240.1791309435
   OM= 80.3011901917491    W=  73.80896808746482   IN= 10.59127767086216
   A= 2.769289292143484    MA= 130.3159688200986   ADIST= 2.982177437589792
   PER= 4.60851            N= .213870839           ANGMOM= .028541613
   DAN= 2.69515            DDN= 2.81323            L= 153.8445988
   B= 10.1666388           MOID= 1.59231997        TP= 2018-May-01.6791309435
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 62.6284             RAD= 469.7              ROTPER= 9.07417
   H= 3.53                 G= .120                 B-V= .713
                           ALBEDO= .090            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#48, OCC=0           radar(60 delay, 0 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 11:14:24 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1 Ceres (A801 AA)               {source: JPL#48}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .24563        
   EC= .07687465013145245  QR= 2.556401146697176   TP= 2458240.1791309435      
   OM= 80.3011901917491    W=  73.80896808746482   IN= 10.59127767086216       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.007608869613381E+00  Y=-2.390064275223502E+00  Z=-1.332124522752402E+00
  VX= 9.201724467227128E-03 VY= 3.370381135398406E-03 VZ=-2.850337057661093E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 62.6284             RAD= 469.7              ROTPER= 9.07417             
   H= 3.53                 G= .120                 B-V= .713                   
                           ALBEDO= .090            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000, -3.250173761375654E+08, -2.203419016964185E+08,  5.291759744142130E+07,  9.165639992762751E+00, -1.610304458359491E+01, -2.199191038589312E+00,
2458485.500000000, A.D. 2019-Jan-02 00:00:00.0000, -3.242228904176531E+08, -2.217314468071813E+08,  5.272716798630814E+07,  9.225201159592405E+00, -1.606231425347662E+01, -2.208891128305465E+00,
2458486.500000000, A.D. 2019-Jan-03 00:00:00.0000, -3.234232669168970E+08, -2.231174631789901E+08,  5.253590227803711E+07,  9.284569975630303E+00, -1.602136099186057E+01, -2.218548732405131E+00,
2458487.500000000, A.D. 2019-Jan-04 00:00:00.0000, -3.226185222878132E+08, -2.244999315973394E+08,  5.234380399205689E+07,  9.343745668666449E+00, -1.598018588186176E+01, -2.228163742508103E+00,
2458488.500000000, A.D. 2019-Jan-05 00:00:00.0000, -3.218086732493464E+08, -2.258788329413921E+08,  5.215087681312392E+07,  9.402727473215403E+00, -1.593879000860668E+01, -2.237736051536023E+00,
2458489.500000000, A.D. 2019-Jan-06 00:00:00.0000, -3.209937365862889E+08, -2.272541481841512E+08,  5.195712443519008E+07,  9.461514630511177E+00, -1.589717445918542E+01, -2.247265553709893E+00,
2458490.500000000, A.D. 2019-Jan-07 00:00:00.0000, -3.201737291487005E+08, -2.286258583926274E+08,  5.176255056129058E+07,  9.520106388501773E+00, -1.585534032260411E+01, -2.256752144547552E+00,
2458491.500000000, A.D. 2019-Jan-08 00:00:00.0000, -3.193486678513281E+08, -2.299939447280025E+08,  5.156715890343183E+07,  9.578502001843361E+00, -1.581328868973749E+01, -2.266195720861074E+00,
2458492.500000000, A.D. 2019-Jan-09 00:00:00.0000, -3.185185696730270E+08, -2.313583884457889E+08,  5.137095318247992E+07,  9.636700731894052E+00, -1.577102065328177E+01, -2.275596180754087E+00,
2458493.500000000, A.D. 2019-Jan-10 00:00:00.0000, -3.176834516561821E+08, -2.327191708959852E+08,  5.117393712804914E+07,  9.694701846707325E+00, -1.572853730770770E+01, -2.284953423619052E+00,
2458494.500000000, A.D. 2019-Jan-11 00:00:00.0000, -3.168433309061288E+08, -2.340762735232271E+08,  5.097611447839066E+07,  9.752504621025077E+00, -1.568583974921381E+01, -2.294267350134460E+00,
2458495.500000000, A.D. 2019-Jan-12 00:00:00.0000, -3.159982245905766E+08, -2.354296778669347E+08,  5.077748898028151E+07,  9.810108336270286E+00, -1.564292907567994E+01, -2.303537862261969E+00,
2458496.500000000, A.D. 2019-Jan-13 00:00:00.0000, -3.151481499390317E+08, -2.367793655614560E+08,  5.057806438891401E+07,  9.867512280539435E+00, -1.559980638662101E+01, -2.312764863243493E+00,
