*******************************************************************************
 Revised: Sep 28, 2012             Deimos / (Mars)                          402
 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 7.8 x 6.0 x 5.1 Density (g cm^-3)   =  1.76 +- 0.30
  Mass (10^20 kg )        = 1.80 (10^-5)    Geometric Albedo    =  0.06 
                               (+- 0.15)    V(1,0)              = +12.89
 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 23.4632(10^3)   Orbital period      = 1.263 d
  Eccentricity, e         =  0.00033        Rotational period   = Synchronous
  Inclination, i  (deg)   =  1.791
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 10:45:06 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Deimos (402)                    {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000,  1.629770068419321E+08,  1.448938565178654E+08, -9.976786424947232E+05, -1.390775070821403E+01,  2.006702271722930E+01,  2.206267009848659E-01,
2458485.500000000, A.D. 2019-Jan-02 00:00:00.0000,  1.616454083339736E+08,  1.466561241183909E+08, -9.189826430664584E+05, -1.518254290575987E+01,  1.874885297378025E+01,  6.211439556607115E-01,
2458486.500000000, A.D. 2019-Jan-03 00:00:00.0000,  1.603295987661050E+08,  1.484089715526735E+08, -8.542450205237195E+05, -1.662730791933799E+01,  1.940010929352612E+01,  1.280299042692367E+00,
2458487.500000000, A.D. 2019-Jan-04 00:00:00.0000,  1.590094571248652E+08,  1.501158464981909E+08, -7.974257696473002E+05, -1.637194171931468E+01,  2.081930278826077E+01,  1.225740388531875E+00,
2458488.500000000, A.D. 2019-Jan-05 00:00:00.0000,  1.576485442130992E+08,  1.517872503711629E+08, -7.306718326271325E+05, -1.505526712863220E+01,  2.066705403270559E+01,  5.393610853589710E-01,
2458489.500000000, A.D. 2019-Jan-06 00:00:00.0000,  1.562481509963061E+08,  1.534650346788671E+08, -6.506882054592073E+05, -1.488131085212162E+01,  1.892415224960050E+01,  2.364929723547409E-01,
2458490.500000000, A.D. 2019-Jan-07 00:00:00.0000,  1.548456532213624E+08,  1.551603609939339E+08, -5.736244909284711E+05, -1.636149865752989E+01,  1.791745726465136E+01,  7.648830913660243E-01,
2458491.500000000, A.D. 2019-Jan-08 00:00:00.0000,  1.534595493466119E+08,  1.568371088582374E+08, -5.112212451166362E+05, -1.756417196682084E+01,  1.888482010057535E+01,  1.345794862689913E+00,
