*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 10:40:56 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000, -2.565786669256473E+07,  1.459776345868732E+08, -1.548952074754238E+04, -2.984330713107311E+01, -5.272844521387671E+00,  9.256858421500258E-04,
2458485.500000000, A.D. 2019-Jan-02 00:00:00.0000, -2.823230306715931E+07,  1.454994529806256E+08, -1.539797420976311E+04, -2.974849808661338E+01, -5.795951202541079E+00,  1.189057422698703E-03,
2458486.500000000, A.D. 2019-Jan-03 00:00:00.0000, -3.079812529513879E+07,  1.449761369768790E+08, -1.528494889068604E+04, -2.964390303251469E+01, -6.317573192078425E+00,  1.421347092815495E-03,
2458487.500000000, A.D. 2019-Jan-04 00:00:00.0000, -3.335448763868447E+07,  1.444078275668288E+08, -1.515349592279643E+04, -2.952952169701604E+01, -6.837416330766245E+00,  1.614456923548779E-03,
2458488.500000000, A.D. 2019-Jan-05 00:00:00.0000, -3.590054559349991E+07,  1.437946910589049E+08, -1.500727118092030E+04, -2.940538252957142E+01, -7.355189425480081E+00,  1.762484838532252E-03,
2458489.500000000, A.D. 2019-Jan-06 00:00:00.0000, -3.843545826881640E+07,  1.431369186478721E+08, -1.485034648505598E+04, -2.927154029096869E+01, -7.870608226542243E+00,  1.861695334308244E-03,
2458490.500000000, A.D. 2019-Jan-07 00:00:00.0000, -4.095839053895415E+07,  1.424347256597345E+08, -1.468702586828172E+04, -2.912807313230036E+01, -8.383398913379908E+00,  1.910426228024509E-03,
2458491.500000000, A.D. 2019-Jan-08 00:00:00.0000, -4.346851491644531E+07,  1.416883505291604E+08, -1.452167351276428E+04, -2.897507909185025E+01, -8.893300730093136E+00,  1.908910646553075E-03,
2458492.500000000, A.D. 2019-Jan-09 00:00:00.0000, -4.596501310749041E+07,  1.408980535998874E+08, -1.435856046637148E+04, -2.881267232641038E+01, -9.400067400673631E+00,  1.859025123076563E-03,
2458493.500000000, A.D. 2019-Jan-10 00:00:00.0000, -4.844707725118139E+07,  1.400641158611248E+08, -1.420173481547087E+04, -2.864097967104841E+01, -9.903467205487233E+00,  1.764008197135070E-03,
2458494.500000000, A.D. 2019-Jan-11 00:00:00.0000, -5.091391089959068E+07,  1.391868377273288E+08, -1.405491513147950E+04, -2.846013818336242E+01, -1.040328197560026E+01,  1.628214708447651E-03,
2458495.500000000, A.D. 2019-Jan-12 00:00:00.0000, -5.336472984734932E+07,  1.382665379305755E+08, -1.392140113694966E+04, -2.827029417798173E+01, -1.089930561996132E+01,  1.456973455252975E-03,
2458496.500000000, A.D. 2019-Jan-13 00:00:00.0000, -5.579876295089395E+07,  1.373035525293650E+08, -1.380399018802494E+04, -2.807160395630655E+01, -1.139134306647121E+01,  1.256601992506212E-03,
