*******************************************************************************
JPL/HORIZONS                 10 Hygiea (A849 GA)           2021-May-29 11:16:49
Rec #:      10 (+COV) Soln.date: 2021-May-03_17:43:21   # obs: 3663 (1849-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2451659.5 ! 2000-Apr-25.00 (TDB)         Residual RMS= .21441
   EC= .1194380603574853   QR= 2.76353045482564    TP= 2451662.1100178338
   OM= 283.6579501838269   W=  314.3412537644239   IN= 3.842864474453038
   A= 3.138371453968998    MA= 359.5373090218986   ADIST= 3.513212453112356
   PER= 5.55987            N= .177275021           ANGMOM= .030256146
   DAN= 2.85525            DDN= 3.37537            L= 238.0636827
   B= -2.7473692           MOID= 1.75311995        TP= 2000-Apr-27.6100178338
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 7.                  RAD= 203.56             ROTPER= 13.828
   H= 5.55                 G= .150                 B-V= .696
                           ALBEDO= .0717           STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#102, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 11:16:49 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 10 Hygiea (A849 GA)             {source: JPL#102}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451659.5 ! 2000-Apr-25.00 (TDB)         Residual RMS= .21441        
   EC= .1194380603574853   QR= 2.76353045482564    TP= 2451662.1100178338      
   OM= 283.6579501838269   W=  314.3412537644239   IN= 3.842864474453038       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.484281795031938E+00  Y=-2.082009786619123E+00  Z=-1.048489626801920E+00
  VX= 9.214067619681732E-03 VY=-5.607303490974008E-03 VZ=-1.877398380211751E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 7.                  RAD= 203.56             ROTPER= 13.828              
   H= 5.55                 G= .150                 B-V= .696                   
                           ALBEDO= .0717           STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000,  4.873124883219800E+08,  1.403841894154261E+08,  3.390302039027818E+07, -3.091538853677393E+00,  1.518656207823583E+01,  3.198275266803741E-02,
2458485.500000000, A.D. 2019-Jan-02 00:00:00.0000,  4.870435388221376E+08,  1.416957805017916E+08,  3.390565563008341E+07, -3.134135730347184E+00,  1.517432485329112E+01,  2.901843559971784E-02,
2458486.500000000, A.D. 2019-Jan-03 00:00:00.0000,  4.867709111017210E+08,  1.430063096693100E+08,  3.390803482228220E+07, -3.176682817287593E+00,  1.516198065733805E+01,  2.605572729273575E-02,
2458487.500000000, A.D. 2019-Jan-04 00:00:00.0000,  4.864946094706300E+08,  1.443157676844693E+08,  3.391015810653216E+07, -3.219179927873935E+00,  1.514952969366037E+01,  2.309464303133790E-02,
2458488.500000000, A.D. 2019-Jan-05 00:00:00.0000,  4.862146382548585E+08,  1.456241453313133E+08,  3.391202562380935E+07, -3.261626876187203E+00,  1.513697216535112E+01,  2.013519805090080E-02,
2458489.500000000, A.D. 2019-Jan-06 00:00:00.0000,  4.859310017964332E+08,  1.469314334114242E+08,  3.391363751640403E+07, -3.304023477009827E+00,  1.512430827531151E+01,  1.717740753818653E-02,
2458490.500000000, A.D. 2019-Jan-07 00:00:00.0000,  4.856437044533536E+08,  1.482376227439073E+08,  3.391499392791661E+07, -3.346369545822474E+00,  1.511153822624877E+01,  1.422128663147504E-02,
2458491.500000000, A.D. 2019-Jan-08 00:00:00.0000,  4.853527505995318E+08,  1.495427041653728E+08,  3.391609500325322E+07, -3.388664898798640E+00,  1.509866222067650E+01,  1.126685042098519E-02,
2458492.500000000, A.D. 2019-Jan-09 00:00:00.0000,  4.850581446247324E+08,  1.508466685299197E+08,  3.391694088862187E+07, -3.430909352801467E+00,  1.508568046091250E+01,  8.314113949009716E-03,
2458493.500000000, A.D. 2019-Jan-10 00:00:00.0000,  4.847598909345134E+08,  1.521495067091190E+08,  3.391753173152800E+07, -3.473102725379469E+00,  1.507259314907792E+01,  5.363092210179055E-03,
2458494.500000000, A.D. 2019-Jan-11 00:00:00.0000,  4.844579939501675E+08,  1.534512095919963E+08,  3.391786768077061E+07, -3.515244834762496E+00,  1.505940048709614E+01,  2.413800151719769E-03,
2458495.500000000, A.D. 2019-Jan-12 00:00:00.0000,  4.841524581086627E+08,  1.547517680850148E+08,  3.391794888643816E+07, -3.557335499857701E+00,  1.504610267669173E+01, -5.337473263198333E-04,
2458496.500000000, A.D. 2019-Jan-13 00:00:00.0000,  4.838432878625844E+08,  1.560511731120582E+08,  3.391777549990436E+07, -3.599374540245527E+00,  1.503269991938935E+01, -3.479535370802367E-03,
