*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2019-Oct-29):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              
  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 10:42:12 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000,  1.629806212726895E+08,  1.449170333840721E+08, -9.972368219362050E+05, -1.511758798465740E+01,  2.024466077262084E+01,  7.950950455491554E-01,
2458485.500000000, A.D. 2019-Jan-02 00:00:00.0000,  1.616666306318552E+08,  1.466592204222224E+08, -9.284941105299219E+05, -1.529854435317747E+01,  2.008348535512331E+01,  7.961582545504307E-01,
2458486.500000000, A.D. 2019-Jan-03 00:00:00.0000,  1.603370878697700E+08,  1.483874155285474E+08, -8.596629525371343E+05, -1.547758897796352E+01,  1.992077769195369E+01,  7.971424419158213E-01,
2458487.500000000, A.D. 2019-Jan-04 00:00:00.0000,  1.589921586133672E+08,  1.501014874191028E+08, -7.907501629922390E+05, -1.565471145149662E+01,  1.975656332519256E+01,  7.980478977679955E-01,
2458488.500000000, A.D. 2019-Jan-05 00:00:00.0000,  1.576320093740007E+08,  1.518013070158002E+08, -7.217625324030295E+05, -1.582990173978651E+01,  1.959086777497644E+01,  7.988749163606697E-01,
2458489.500000000, A.D. 2019-Jan-06 00:00:00.0000,  1.562568075144522E+08,  1.534867474451801E+08, -6.527068259266689E+05, -1.600315017388914E+01,  1.942371653144429E+01,  7.996237927294008E-01,
2458490.500000000, A.D. 2019-Jan-07 00:00:00.0000,  1.548667212163704E+08,  1.551576840368080E+08, -5.835897826206610E+05, -1.617444745028182E+01,  1.925513506002808E+01,  8.002948247990496E-01,
2458491.500000000, A.D. 2019-Jan-08 00:00:00.0000,  1.534619194481221E+08,  1.568139943211130E+08, -5.144181147708669E+05, -1.634378463559922E+01,  1.908514881632767E+01,  8.008883189872105E-01,
2458492.500000000, A.D. 2019-Jan-09 00:00:00.0000,  1.520425719328370E+08,  1.584555580266072E+08, -4.451985071971491E+05, -1.651115317232192E+01,  1.891378324494117E+01,  8.014045955915563E-01,
2458493.500000000, A.D. 2019-Jan-10 00:00:00.0000,  1.506088491165577E+08,  1.600822570766113E+08, -3.759376164807007E+05, -1.667654487844587E+01,  1.874106375309839E+01,  8.018439889796722E-01,
