*******************************************************************************
 Revised: April 12, 2021             Mercury                            199 / 1
 PHYSICAL DATA (updated 2021-Apr-12):
  Vol. Mean Radius (km) =  2440+-1        Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.86855     Equatorial radius, Re = 2440 km
  GM 1-sigma (km^3/s^2) =                 Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 10:44:15 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury Barycenter (199)        {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000, -4.726172010176350E+07, -4.671443491995941E+07,  4.087355549094304E+05,  2.476489737911525E+01, -3.197373466563876E+01, -4.885743869363329E+00,
2458485.500000000, A.D. 2019-Jan-02 00:00:00.0000, -4.504662628045791E+07, -4.939781389662974E+07, -1.384256303950027E+04,  2.649090922567385E+01, -3.013080867029864E+01, -4.893491681532311E+00,
2458486.500000000, A.D. 2019-Jan-03 00:00:00.0000, -4.268744093530888E+07, -5.191926900769829E+07, -4.364078858033977E+05,  2.810060075715364E+01, -2.822641779858932E+01, -4.885545989948044E+00,
2458487.500000000, A.D. 2019-Jan-04 00:00:00.0000, -4.019415029511578E+07, -5.427372055955493E+07, -8.576292172248587E+05,  2.959543332284336E+01, -2.626581826341684E+01, -4.862470361474793E+00,
2458488.500000000, A.D. 2019-Jan-05 00:00:00.0000, -3.757661912555066E+07, -5.645652107258561E+07, -1.276221821827557E+06,  3.097675164780530E+01, -2.425376903877616E+01, -4.824777032999984E+00,
2458489.500000000, A.D. 2019-Jan-06 00:00:00.0000, -3.484460215971279E+07, -5.846341490909117E+07, -1.690943077258494E+06,  3.224575348305964E+01, -2.219459107995216E+01, -4.772928966296266E+00,
2458490.500000000, A.D. 2019-Jan-07 00:00:00.0000, -3.200775791049036E+07, -6.029050283693682E+07, -2.100588311544280E+06,  3.340346461749693E+01, -2.009222242113644E+01, -4.707342057886178E+00,
2458491.500000000, A.D. 2019-Jan-08 00:00:00.0000, -2.907566445107453E+07, -6.193421119043718E+07, -2.503986835449349E+06,  3.445071813865603E+01, -1.795026956967477E+01, -4.628387436073188E+00,
2458492.500000000, A.D. 2019-Jan-09 00:00:00.0000, -2.605783683745320E+07, -6.339126532835345E+07, -2.899998175334480E+06,  3.538813702492201E+01, -1.577205566239713E+01, -4.536393799008507E+00,
2458493.500000000, A.D. 2019-Jan-10 00:00:00.0000, -2.296374591860145E+07, -6.465866713043597E+07, -3.287508508714639E+06,  3.621611931804928E+01, -1.356066587824763E+01, -4.431649765273965E+00,
