*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 10:37:33 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000, -2.594394676171621E+07,  1.457191537925642E+08,  1.879243548780680E+04, -2.920041610016305E+01, -6.056705035428428E+00, -1.966945528910324E-02,
2458485.500000000, A.D. 2019-Jan-02 00:00:00.0000, -2.845592611394830E+07,  1.451803785812578E+08,  1.623692531195283E+04, -2.895255066097593E+01, -6.409660276312301E+00, -3.913050853114974E-02,
2458486.500000000, A.D. 2019-Jan-03 00:00:00.0000, -3.094792578110056E+07,  1.446123349695342E+08,  1.210336327194422E+04, -2.873857798558501E+01, -6.735868388841888E+00, -5.607390920661848E-02,
2458487.500000000, A.D. 2019-Jan-04 00:00:00.0000, -3.342301224542837E+07,  1.440169043922708E+08,  6.638979418374598E+03, -2.856133703400771E+01, -7.045269234648544E+00, -6.984182488488688E-02,
2458488.500000000, A.D. 2019-Jan-05 00:00:00.0000, -3.588440683780140E+07,  1.433951150574999E+08,  1.401237256228924E+02, -2.842160365794606E+01, -7.347618075593773E+00, -7.995494653159207E-02,
2458489.500000000, A.D. 2019-Jan-06 00:00:00.0000, -3.833531567854504E+07,  1.427471718373300E+08, -7.063083834618330E+03, -2.831828513313826E+01, -7.652168141780209E+00, -8.611012284631547E-02,
2458490.500000000, A.D. 2019-Jan-07 00:00:00.0000, -4.077877806521063E+07,  1.420725120030732E+08, -1.462169253620505E+04, -2.824865612457545E+01, -7.967393190450194E+00, -8.817278973292941E-02,
2458491.500000000, A.D. 2019-Jan-08 00:00:00.0000, -4.321753736156642E+07,  1.413698821931921E+08, -2.218191225136817E+04, -2.820864186216586E+01, -8.300779167236234E+00, -8.616250353755506E-02,
2458492.500000000, A.D. 2019-Jan-09 00:00:00.0000, -4.565393756762660E+07,  1.406374292618203E+08, -2.939757816486806E+04, -2.819312280044993E+01, -8.658715043800495E+00, -8.023246092884984E-02,
2458493.500000000, A.D. 2019-Jan-10 00:00:00.0000, -4.808984544510804E+07,  1.398727958239529E+08, -3.594070821061730E+04, -2.819621247059154E+01, -9.046492430902850E+00, -7.064661516770787E-02,
