*******************************************************************************
 Revised: Sep 28, 2012             Phobos / (Mars)                          401
 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 13.1 x11.1 x9.3 Density (g cm^-3)   =  1.90 +- 0.08
  Mass (10^20 kg )        =  1.08 (10^-4)   Geometric Albedo    =  0.06 
                                 (+- 0.1)   V(1,0)              = +11.8
 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 9.3772(10^3)    Orbital period      = 0.319 d
  Eccentricity, e         = 0.0151          Rotational period   = Synchronous
  Inclination, i  (deg)   = 1.082
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 10:42:43 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Phobos (401)                    {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000,  1.629815469459798E+08,  1.449078262404279E+08, -9.983748377748802E+05, -1.321954683184625E+01,  2.052462587429605E+01, -1.744932928934002E-01,
2458485.500000000, A.D. 2019-Jan-02 00:00:00.0000,  1.616735070963576E+08,  1.466541000389653E+08, -9.324437475351617E+05, -1.420250003553856E+01,  2.184633030243700E+01,  3.505949021617258E-01,
2458486.500000000, A.D. 2019-Jan-03 00:00:00.0000,  1.603453133760684E+08,  1.483898444933466E+08, -8.637763171340525E+05, -1.588886150652570E+01,  2.195539407823319E+01,  1.156924375162896E+00,
2458487.500000000, A.D. 2019-Jan-04 00:00:00.0000,  1.589963203868488E+08,  1.501098760173905E+08, -7.923181186252534E+05, -1.729058793712412E+01,  2.072091398352851E+01,  1.719619509083024E+00,
2458488.500000000, A.D. 2019-Jan-05 00:00:00.0000,  1.576293690746227E+08,  1.518101004375398E+08, -7.197556495422348E+05, -1.761559164024376E+01,  1.882089747799705E+01,  1.674065535210163E+00,
2458489.500000000, A.D. 2019-Jan-06 00:00:00.0000,  1.562491866939842E+08,  1.534899834000229E+08, -6.485038052894101E+05, -1.671025527427437E+01,  1.739668835039943E+01,  1.022211683575713E+00,
2458490.500000000, A.D. 2019-Jan-07 00:00:00.0000,  1.548594736165679E+08,  1.551531185370942E+08, -5.801435848044157E+05, -1.527542732636680E+01,  1.737416290432804E+01,  1.964283104845430E-01,
2458491.500000000, A.D. 2019-Jan-08 00:00:00.0000,  1.534602039265565E+08,  1.568048786592960E+08, -5.141828407533616E+05, -1.447374325382064E+01,  1.868284796861607E+01, -2.021117742077783E-01,
