*******************************************************************************
JPL/HORIZONS                  4 Vesta (A807 FA)            2021-May-29 11:46:53
Rec #:       4 (+COV) Soln.date: 2021-Apr-13_11:15:57   # obs: 9451 (1950-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .47385
   EC= .08857261385730482  QR= 2.15270823108896    TP= 2458247.8038331456
   OM= 103.8092892453337   W=  150.8357762126256   IN= 7.14181494423702
   A= 2.361908654291772    MA= 163.3754032354997   ADIST= 2.571109077494583
   PER= 3.62997            N= .271524746           ANGMOM= .026333145
   DAN= 2.53982            DDN= 2.17514            L= 254.8345779
   B= 3.4734313            MOID= 1.13987994        TP= 2018-May-09.3038331456
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= 17.8                RAD= 262.7              ROTPER= 5.342128
   H= 3.31                 G= .320                 B-V= .782
                           ALBEDO= .4228           STYP= V
 
ASTEROID comments: 
1: soln ref.= JPL#36, OCC=0           radar(2977 delay, 0 Dop
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat May 29 11:46:53 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 4 Vesta (A807 FA)               {source: JPL#36}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2021-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458849.5 ! 2020-Jan-01.00 (TDB)         Residual RMS= .47385        
   EC= .08857261385730482  QR= 2.15270823108896    TP= 2458247.8038331456      
   OM= 103.8092892453337   W=  150.8357762126256   IN= 7.14181494423702        
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.243605461680222E+00  Y= 2.133870405923554E+00  Z= 6.874866847781977E-01
  VX=-8.779290950353064E-03 VY= 4.462599423343603E-03 VZ= 2.927653651039283E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= 17.8                RAD= 262.7              ROTPER= 5.342128            
   H= 3.31                 G= .320                 B-V= .782                   
                           ALBEDO= .4228           STYP= V                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458484.500000000, A.D. 2019-Jan-01 00:00:00.0000,  2.896729116971705E+08, -1.781911555651397E+08, -2.990483159764896E+07,  1.170943386515238E+01,  1.610135702679393E+01, -1.907600473100395E+00,
2458485.500000000, A.D. 2019-Jan-02 00:00:00.0000,  2.906810176722590E+08, -1.767977867679520E+08, -3.006927776908569E+07,  1.162632187843875E+01,  1.615247313008015E+01, -1.899017818371286E+00,
2458486.500000000, A.D. 2019-Jan-03 00:00:00.0000,  2.916819348495660E+08, -1.754000215493568E+08, -3.023298083640625E+07,  1.154302696793227E+01,  1.620312600149254E+01, -1.890399043588770E+00,
2458487.500000000, A.D. 2019-Jan-04 00:00:00.0000,  2.926756475433087E+08, -1.739978999425360E+08, -3.039593769300150E+07,  1.145955188327699E+01,  1.625331541370235E+01, -1.881744476562807E+00,
2458488.500000000, A.D. 2019-Jan-05 00:00:00.0000,  2.936621403049815E+08, -1.725914619995510E+08, -3.055814526057230E+07,  1.137589936732655E+01,  1.630304115698279E+01, -1.873054444803577E+00,
2458489.500000000, A.D. 2019-Jan-06 00:00:00.0000,  2.946413979227638E+08, -1.711807477898281E+08, -3.071960048910274E+07,  1.129207215603937E+01,  1.635230303907983E+01, -1.864329275504862E+00,
2458490.500000000, A.D. 2019-Jan-07 00:00:00.0000,  2.956134054209203E+08, -1.697657973986540E+08, -3.088030035683233E+07,  1.120807297837563E+01,  1.640110088508253E+01, -1.855569295527610E+00,
2458491.500000000, A.D. 2019-Jan-08 00:00:00.0000,  2.965781480591920E+08, -1.683466509256834E+08, -3.104024187022628E+07,  1.112390455619603E+01,  1.644943453729319E+01, -1.846774831383745E+00,
2458492.500000000, A.D. 2019-Jan-09 00:00:00.0000,  2.975356113321782E+08, -1.669233484834570E+08, -3.119942206394482E+07,  1.103956960416237E+01,  1.649730385509708E+01, -1.837946209220133E+00,
2458493.500000000, A.D. 2019-Jan-10 00:00:00.0000,  2.984857809687106E+08, -1.654959301959312E+08, -3.135783800081097E+07,  1.095507082963985E+01,  1.654470871483202E+01, -1.829083754802805E+00,
2458494.500000000, A.D. 2019-Jan-11 00:00:00.0000,  2.994286429312187E+08, -1.640644361970195E+08, -3.151548677177688E+07,  1.087041093260121E+01,  1.659164900965759E+01, -1.820187793501361E+00,
2458495.500000000, A.D. 2019-Jan-12 00:00:00.0000,  3.003641834150866E+08, -1.626289066291440E+08, -3.167236549588894E+07,  1.078559260553259E+01,  1.663812464942423E+01, -1.811258650273587E+00,
2458496.500000000, A.D. 2019-Jan-13 00:00:00.0000,  3.012923888480026E+08, -1.611893816417998E+08, -3.182847132025159E+07,  1.070061853334116E+01,  1.668413556054200E+01, -1.802296649650279E+00,
